time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2017-05-06T10:21:00.810Z,0.5954,99.5259,10,4.8,mb,,69,1.537,0.54,us,us10008q2b,2017-05-06T10:42:24.040Z,"90km SSE of Padangsidempuan, Indonesia",earthquake,4.1,1.8,0.095,34,reviewed,us,us
2017-05-06T09:52:29.110Z,36.6517,71.5349,404.76,5,mb,,44,0.882,0.8,us,us10008q25,2017-05-06T10:11:06.040Z,"3km S of Ashkasham, Afghanistan",earthquake,7.6,5.8,0.033,303,reviewed,us,us
2017-05-06T08:37:19.900Z,18.9715,-64.034,75,2.79,md,3,346,1.4141,0.09,pr,pr2017126004,2017-05-06T21:50:20.139Z,"86km NE of Road Town, British Virgin Islands",earthquake,5.8,4.5,0.4,2,reviewed,pr,pr
2017-05-06T08:36:07.360Z,18.7976,-67.1328,8,2.45,md,3,357,0.3308,0.07,pr,pr2017126003,2017-05-06T21:51:24.691Z,"34km NNW of Isabela, Puerto Rico",earthquake,8.039,0.68,0.07,3,reviewed,pr,pr
2017-05-06T08:25:09.947Z,59.8202,-136.8011,0,2.5,ml,,,,0.88,ak,ak15937355,2017-05-06T08:33:01.634Z,"93km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-06T07:53:50.630Z,-41.4551,173.8995,53.85,4.4,mb,,41,0.041,0.98,us,us10008q1k,2017-05-06T09:21:49.976Z,"8km NNW of Blenheim, New Zealand",earthquake,3.3,5.8,0.19,8,reviewed,us,us
2017-05-06T07:46:57.520Z,32.9727,-100.8658,5,2.5,mb_lg,,48,0.541,1.16,us,us10008q1j,2017-05-06T08:01:07.040Z,"28km N of Snyder, Texas",earthquake,2.4,2,0.092,31,reviewed,us,us
2017-05-06T07:15:19.000Z,39.4853,71.4952,10,5,mb,,35,0.773,0.97,us,us10008q1f,2017-05-06T07:36:02.695Z,"27km N of Karakenja, Tajikistan",earthquake,4.1,1.9,0.063,81,reviewed,us,us
2017-05-06T07:13:30.540Z,18.5871,-65.9108,89,2.5,md,4,291,0.4493,0.1,pr,pr2017126002,2017-05-06T21:52:33.766Z,"17km N of Loiza, Puerto Rico",earthquake,4.21,2.66,0.47,3,reviewed,pr,pr
2017-05-06T05:58:38.550Z,44.781,-111.0178333,6.29,2.66,ml,23,69,0.02321,0.25,uu,uu60195902,2017-05-06T06:35:44.460Z,"14km NNE of West Yellowstone, Montana",earthquake,0.51,0.86,0.147,6,reviewed,uu,uu
2017-05-06T05:50:18.391Z,59.9212,-136.5643,0,3.8,ml,,,,0.99,ak,ak15934903,2017-05-06T06:10:06.476Z,"87km NW of Skagway, Alaska",earthquake,,0.9,,,automatic,ak,ak
2017-05-06T05:29:17.910Z,38.7929993,-122.7563324,2.4,2.79,md,48,64,0.01816,0.06,nc,nc72798246,2017-05-07T04:30:10.574Z,"1km N of The Geysers, California",earthquake,0.17,0.28,0.22,29,automatic,nc,nc
2017-05-06T04:57:03.583Z,59.7281,-136.4743,9.1,2.8,ml,,,,1.01,ak,ak15934887,2017-05-06T05:03:22.380Z,"72km WNW of Skagway, Alaska",earthquake,,0.6,,,automatic,ak,ak
2017-05-06T03:58:40.713Z,59.8231,-136.5743,0,2.6,ml,,,,0.81,ak,ak15933679,2017-05-06T04:02:07.117Z,"81km WNW of Skagway, Alaska",earthquake,,0.3,,,automatic,ak,ak
2017-05-06T03:35:34.950Z,18.9428,-64.255,40,2.59,md,3,341,1.2081,0.26,pr,pr2017126001,2017-05-06T21:59:16.190Z,"69km NNE of Road Town, British Virgin Islands",earthquake,8.34,15.19,0.33,3,reviewed,pr,pr
2017-05-06T03:13:35.044Z,59.7844,-136.9116,0,2.9,ml,,,,0.99,ak,ak15933654,2017-05-06T03:20:21.756Z,"97km WNW of Skagway, Alaska",earthquake,,0.5,,,automatic,ak,ak
2017-05-06T02:52:41.150Z,3.7244,-76.7448,75.44,4.4,mb,,84,2.66,1.28,us,us10008pzu,2017-05-06T03:59:22.764Z,"9km NW of Dagua, Colombia",earthquake,3.9,12.1,0.093,38,reviewed,us,us
2017-05-06T02:42:18.890Z,21.677,142.9874,309.29,4.6,mb,,112,5.444,0.67,us,us10008pzs,2017-05-06T02:59:58.040Z,"235km WNW of Farallon de Pajaros, Northern Mariana Islands",earthquake,10.3,8,0.037,222,reviewed,us,us
